"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515","region","gender","age","education"
"264",928,3.71231884057971,2,4,2,5,2.92810902896082,3,3.5040500736377,5,3,5,3,4,2.77097345132743,3,2,1,65,4
"265",930,3,3,3,3,2,2,4.14543630892678,3,3,3,3,3,3.89578250261415,3,3.81396981396981,2,1,32,7
"266",932,3,3,3,3,4,2,5,3,5,3,3,2,4,2,4,2,2,63,3
"267",934,3,4,4,4,2,4,4,4,4,4,3,3,4,4,3,2,1,34,4
"268",936,2,3,4,3,2,2,3,3,5,2,4,3,3,2,2,2,1,45,6
"269",939,5,2,4,1,5,2,5,2,5,2,4,3,5,1,5,2,2,52,1
"270",952,4,1,4,3,4,2,4,3,4,2,4,2,4,4,4,2,1,39,1
"271",956,5,1,5,1,5,1,5,5,5,5,5,1,5,1,5,2,1,51,4
"272",958,5,1,5,1,3.91554959785523,2.92810902896082,4,3.5040500736377,5,4,4,2,5,1,3.81396981396981,2,1,37,3
"273",962,5,2,5,2,4,2,5,3.5040500736377,5,4,5,4,2,4,4,2,1,53,3
"274",966,1,1,4,1,5,1,5,1,5,3,1,1,3.89578250261415,1,5,2,2,41,1
"275",969,4,4,4,2,2,2,4,2,4,4,4,4,2,5,2,2,1,58,3
"276",973,3.71231884057971,5,4.01468624833111,5,1,1,5,1,5,5,3.89625668449198,1,1,5,3.81396981396981,2,2,67,1
"277",979,3,2,2,1,2,4,5,2,4,2,5,4,2,1,2,2,1,44,3
"278",988,4,2,4,2,5,5,5,5,4,4,4,2,2,4,2,2,1,51,1
"279",989,5,1,1,1,1,1,5,3.5040500736377,2,3.4861646234676,4,5,1,4,1,2,1,22,3
"280",990,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,41,1
"281",991,3.71231884057971,4,4,2,4,4,4,4,5,4,2,5,2,4,2,2,2,23,3
"282",998,4,3,3,1,5,5,5,5,3,3,4,4,4,3,3,2,2,22,3
"283",1000,5,4,1,1,4,1,1,3.5040500736377,4,5,2,2,1,1,2,2,1,42,3
"284",1009,4,3,2,3,4,1,1,3.5040500736377,4,5,2,2,1,1,2,2,1,36,3
"285",1010,4,5,1,2,1,2,5,5,4,1,5,2,1,1,2,2,1,33,3
"286",1011,3.71231884057971,5,5,2,1,5,5,5,1,5,5,5,5,5,5,2,1,63,1
"287",1013,5,1,5,3,5,4,5,2,5,3.4861646234676,3,2,5,4,1,2,1,47,3
